"'Licence ","'","'","'Player ","'","'","'Fouls ","'","'",
"'no. ","'Players ","'No. ","'in ","'1 ","'2 ","'3 ","'4 ","'5 ",
"'","'Bertolini J. ","'","'","'","'","'","'","'",
"'","'Dugoni M. ","'","'","'","'","'","'","'",
"'","'Ganassi G. ","'","'","'","'","'","'","'",
"'","'Savi C. ","'","'","'","'","'","'","'",
"'","'Olmi D. ","'","'","'","'","'","'","'",
"'","'Marrasi L. ","'","'","'","'","'","'","'",
"'","'Panciroli A. ","'","'","'","'","'","'","'",
"'","'Petacchi C. ","'","'","'","'","'","'","'",
"'","'Guerrireri F. ","'","'","'","'","'","'","'",
"'","'Lo M. ","'","'","'","'","'","'","'",
"'","'Codeluppi A. ","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'",
"'Coach ","'Sidoli A. ","'","'","'","'","'","'","'",
"'Assistant ","'Coach ","'","'","'","'","'","'","'",
